"CTRIBUCODI","CTRIBUSIGL","CTPMERCODI","ETPMERDESC","CATIVICODI","EATIVIDESC","CTBATVVALO","CTBATVSITU"
2,ISS HOM,7,CPOMPRESTADOR FORA DO MUNICIPIO,7491803,LABORATORIOS FOTOGRAFICOS,,A
2,ISS HOM,1,AUTONOMO NIVEL UNIVERSITARIO,9102302,RESTAURACAO E CONSERVACAO DE LUGARES E PREDIOS HISTORICOS,,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999001,AMOLADOR DE FERRAMENTAS,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999020,ANALISTA TECNICO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999094,ARRUMADEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999091,ARRUMADOR DE CAMINHAO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999061,ARTESAO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999096,ARTISTA CIRCENSE,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999038,ARTISTA PLASTICO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999103,ASCENSORISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999095,ASSISTENTE A MENORES DE RUA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999098,ATENDENTE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999021,ATENDENTE DE ENFERMAGEM,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999097,AUXILIAR DE DESPACHANTE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999022,AUXILIAR DE ENFERMAGEM,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999023,AUXILIAR DE TERAPEUTICA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999024,BARBEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999104,BARMAN,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999025,BOMBEIRO HIDRAULICO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999026,BORDADEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999002,BORRACHEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999027,CABELEIREIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999003,CALAFATE,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999099,CALISTA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999083,CAMAREIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999004,CAPOTEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999028,CARPINTEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999029,CARREGADOR,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999089,CARTAZEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999030,CENOTECNICO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999031,CERZIDEIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999005,CHAVEIRO,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999032,COBRADOR,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999006,COLCHOEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999033,CONDUTOR AUTONOMO DE VEICULOS DE QQ NATUREZA,114.77,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999105,COPEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999034,COSTUREIRA,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999106,COZINHEIRO,114.76,A
1,ISS AUT,7,CPOMPRESTADOR FORA DO MUNICIPIO,9999007,CUTELEIRO,114.76,A
